Ticker,Company Name,Industry,Market Cap,1 Yr,3 Yr,5 Yr,Total Revenues,Gross Profit Margin,EBIT Margin,Net Income Margin,Net Debt/EBITDA,P/E,P/B,P/Revenue,ROIC,Dividend Yield
NYSE:MMM,3M Company,Industrials,69104.24,-29.6,-24.2,-39.7,35355.0,46.9,22.0,16.7,1.4x,11.85,4.56,1.96,22.0,5.0
NYSE:AOS,A. O. Smith Corporation,Industrials,8744.87,-32.1,27.1,2.0,3538.9,37.0,17.2,13.8,-0.6x,18.95,4.93,2.59,32.0,1.9
NYSE:ABT,Abbott Laboratories,Health Care,191426.96,-20.7,32.6,108.9,43075.0,58.1,21.4,16.4,0.7x,27.87,5.41,4.52,17.0,1.7
NYSE:ABBV,AbbVie Inc.,Health Care,285707.16,24.0,109.7,110.8,56197.0,71.3,37.2,20.5,2.3x,25.06,18.55,5.09,18.0,3.3
NYSE:ACN,Accenture plc,Information Technology,168039.86,-34.8,32.1,87.3,62376.95,32.0,15.3,11.3,-0.2x,24.24,7.31,2.7,37.0,1.6
NasdaqGS:ATVI,"Activision Blizzard, Inc.",Communication Services,59909.97,15.7,31.1,24.6,8803.0,73.7,37.9,30.7,-1.9x,22.25,3.39,6.76,27.0,0.6
NasdaqGS:ADBE,Adobe Inc.,Information Technology,156452.8,-40.7,2.0,92.0,17606.0,87.7,34.6,27.0,-0.2x,33.32,11.14,8.98,40.0,
NYSE:AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,8643.56,-36.5,-2.7,56.9,10997.99,44.8,8.2,5.6,2.8x,15.4,2.89,0.86,13.0,2.2
NasdaqGS:AMD,"Advanced Micro Devices, Inc.",Information Technology,104432.31,-55.0,41.2,530.1,16434.0,48.2,22.2,19.2,-0.7x,25.2,10.43,4.78,61.0,
NYSE:AFL,Aflac Incorporated,Financials,44731.47,26.4,47.0,85.0,22106.0,41.2,25.2,19.6,0.9x,11.26,1.41,2.19,4.0,1.8
NYSE:A,"Agilent Technologies, Inc.",Health Care,44307.18,-5.5,79.0,132.1,6445.0,54.0,22.7,18.7,1.0x,37.97,8.72,7.03,19.0,0.5
NYSE:APD,"Air Products and Chemicals, Inc.",Materials,68429.93,3.9,40.4,111.2,10942.0,28.9,21.3,19.9,1.0x,32.38,4.94,6.25,11.0,1.9
NasdaqGS:AKAM,"Akamai Technologies, Inc.",Information Technology,13255.53,-28.0,-2.4,29.6,3461.22,63.3,23.3,18.8,0.6x,21.45,2.99,3.96,12.0,
NYSE:ALK,"Alaska Air Group, Inc.",Industrials,5446.42,-17.6,-36.3,-38.8,6176.0,15.2,-4.1,7.7,7.1x,11.39,1.42,0.87,-3.0,
NYSE:ALB,Albemarle Corporation,Materials,25405.75,-6.6,206.4,81.1,3327.96,30.3,18.4,3.7,2.4x,204.58,4.51,7.55,7.0,0.7
NYSE:ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,23902.59,-32.6,-2.2,28.2,2126.41,70.7,24.9,26.9,6.8x,38.13,1.42,10.06,2.0,3.1
NasdaqGS:ALGN,"Align Technology, Inc.",Health Care,16473.89,-67.9,-24.4,-5.1,3952.58,74.3,24.7,19.5,-1.1x,21.76,4.58,4.21,33.0,
NYSE:ALLE,Allegion plc,Industrials,9246.55,-19.3,-12.1,40.4,2867.4,42.0,18.9,16.8,1.9x,19.71,12.23,3.3,26.0,1.4
NasdaqGS:LNT,Alliant Energy Corporation,Utilities,13858.92,-7.4,10.1,50.4,3669.0,42.4,21.4,18.0,5.5x,20.99,2.31,3.76,4.0,2.9
NasdaqGS:GOOGL,Alphabet Inc.,Communication Services,1145003.89,-39.1,31.7,67.5,257637.0,56.9,30.6,29.5,-1.2x,15.73,4.64,4.57,28.0,
NasdaqGS:GOOG,Alphabet Inc.,Communication Services,1145003.89,-38.7,32.7,69.6,257637.0,56.9,30.6,29.5,-1.2x,,,,28.0,
NYSE:MO,"Altria Group, Inc.",Consumer Staples,81920.21,4.4,16.4,-8.5,21111.0,66.0,57.0,11.7,1.9x,34.23,,3.99,44.0,7.7
NasdaqGS:AMZN,"Amazon.com, Inc.",Consumer Discretionary,856938.95,-49.6,-9.1,43.7,469822.0,42.0,5.3,7.1,0.7x,25.92,6.19,1.81,10.0,
NYSE:AMCR,Amcor plc,Materials,17426.77,3.2,24.3,,13588.0,20.0,11.0,7.0,3.1x,19.31,4.03,1.34,12.0,4.0
NYSE:AEE,Ameren Corporation,Utilities,22987.79,2.5,25.2,72.4,6119.0,48.9,24.0,16.2,5.2x,23.16,2.36,3.72,4.0,2.5
NasdaqGS:AAL,American Airlines Group Inc.,Industrials,8266.74,-29.2,-55.5,-74.9,29882.0,6.5,-17.3,-6.7,-11.9x,,,0.27,-10.0,
NasdaqGS:AEP,"American Electric Power Company, Inc.",Utilities,48791.36,10.4,11.2,52.9,16792.0,45.6,21.1,14.8,5.8x,19.14,2.13,2.83,4.0,3.2
NYSE:AXP,American Express Company,Financials,110403.63,-8.5,23.8,59.8,43799.0,61.7,,18.4,,14.75,5.07,2.66,,1.2
NYSE:AIG,"American International Group, Inc.",Financials,46986.06,13.8,34.7,22.2,52043.0,37.5,21.5,18.0,1.8x,5.84,0.79,1.04,3.0,2.0
NYSE:AMT,American Tower Corporation,Real Estate,98643.2,-25.7,-1.7,64.7,9356.9,71.3,38.0,27.4,8.5x,37.43,19.0,10.22,6.0,2.5
NYSE:AWK,"American Water Works Company, Inc.",Utilities,27714.2,-17.9,30.0,81.5,3930.0,54.8,32.4,32.1,5.7x,21.96,3.79,7.06,5.0,1.6
NYSE:AMP,"Ameriprise Financial, Inc.",Financials,33135.12,5.0,98.6,105.7,13443.0,56.4,31.1,20.5,-1.1x,13.54,6.07,2.72,3.0,1.4
NYSE:ABC,AmerisourceBergen Corporation,Health Care,33486.42,26.3,103.9,95.8,221101.1,3.3,1.3,0.7,1.4x,21.49,143.41,0.16,21.0,1.1
NYSE:AME,"AMETEK, Inc.",Industrials,32087.31,-4.3,43.0,99.5,5546.51,34.5,23.6,17.9,1.5x,32.88,4.71,5.82,13.0,0.6
NasdaqGS:AMGN,Amgen Inc.,Health Care,140139.24,20.4,19.1,75.1,25979.0,75.2,35.9,22.7,2.0x,25.55,21.89,5.76,23.0,2.7
NYSE:APH,Amphenol Corporation,Information Technology,45310.5,-12.0,45.1,82.3,10876.3,31.3,19.9,14.6,1.5x,30.33,7.24,4.19,20.0,0.8
NasdaqGS:ADI,"Analog Devices, Inc.",Information Technology,83539.81,-4.9,45.9,102.8,8444.12,64.9,27.7,15.2,1.2x,56.39,2.29,8.48,5.0,1.7
NasdaqGS:ANSS,"ANSYS, Inc.",Information Technology,21045.44,-39.8,-6.1,63.7,1906.72,89.7,27.2,23.8,0.3x,46.82,4.69,11.04,11.0,
NYSE:AON,Aon plc,Financials,62084.84,0.6,47.7,134.3,12193.0,44.9,17.3,10.3,4.0x,54.08,60.76,5.53,15.0,0.7
NasdaqGS:APA,APA Corporation,Energy,15008.17,76.4,89.5,21.9,8025.0,63.3,35.9,12.1,1.7x,18.02,,2.18,26.0,0.5
NasdaqGS:AAPL,Apple Inc.,Information Technology,2066941.77,-26.4,80.7,223.0,378323.0,43.0,30.9,26.6,-0.6x,21.6,29.52,5.69,55.0,0.7
NasdaqGS:AMAT,"Applied Materials, Inc.",Information Technology,82202.33,-37.5,64.3,103.1,24172.0,47.7,32.1,27.1,0.0x,13.56,7.24,3.64,56.0,1.0
NYSE:APTV,Aptiv PLC,Consumer Discretionary,25233.53,-43.5,-1.7,12.3,15618.0,15.6,7.7,3.8,0.7x,48.01,3.02,1.61,11.0,
NasdaqGS:ACGL,Arch Capital Group Ltd.,Financials,23056.03,41.2,46.4,107.5,9249.98,36.3,23.8,23.3,0.9x,12.0,1.86,2.66,6.0,
NYSE:ADM,Archer-Daniels-Midland Company,Consumer Staples,51005.68,40.0,116.1,166.5,85249.0,7.0,3.4,3.2,2.4x,19.38,2.31,0.61,8.0,1.6
NYSE:ANET,"Arista Networks, Inc.",Information Technology,37081.24,-15.6,138.6,106.0,2948.04,63.8,31.4,28.5,-3.4x,46.14,9.38,12.62,23.0,
NYSE:AJG,Arthur J. Gallagher & Co.,Financials,39751.77,12.4,106.5,224.4,7974.4,36.9,17.3,11.4,3.2x,43.14,4.62,4.79,8.0,1.0
NYSE:AIZ,"Assurant, Inc.",Financials,6607.1,-18.3,0.9,37.3,10187.6,10.8,9.0,13.4,0.2x,12.26,1.27,0.73,15.0,2.1
NYSE:T,AT&T Inc.,Communication Services,131193.13,5.8,-23.6,-13.5,134038.0,54.9,25.9,15.0,3.6x,6.66,0.79,0.78,8.0,11.5
